,company_name,ticker,month,year,price_raised_at,warrant_price,total_raise,high_post_raise,capital_growth_rate,net_profit_rate,ticker_london,previous_close,latest_close,latest_growth_rate,industry,avg_vol_10days,company_names
0,Panther Metals,PALM,Jan,2020,10,-,300000,17.9,1.7899999999999998,0.7899999999999998,PALM.L,12.25,12.25,1.225,Gold,211883,Panther Metals
1,Cobra Resources,COBR,Jan,2020,2.25,3,677145,3.8475,1.71,0.7100000000000001,COBR.L,2.7,2.7,1.2000000000000002,Other Industrial Metals & Mining,1899228,Cobra Resources
2,Katoro Gold,KAT,Feb ,2020,1.25,2,215000,3.9,3.12,2.12,KAT.L,1.95,1.95,1.56,Gold,3804505,Katoro Gold
3,Incanthera,INC,Feb ,2020,9.5,,322000,20,2.1052631578947367,1.105263157894737,INC.L,0.0,0.0,0.0,NaN,0,Incanthera
4,AMTE Power Pre-IPO,AMTE,Apr,2020,73.35,,1753000,332,4.5262440354464895,3.5262440354464895,AMTE.L,272.5,272.5,3.7150647580095435,Electrical Equipment & Parts,668683,AMTE Power Pre-IPO
5,Kanabo CLN,KNB,Apr ,2020,0.05,0.1,250000,0.51,10.2,9.2,KNB.L,22.0,22.0,440.0,Pharmaceutical Retailers,2166674,Kanabo CLN
6,ECR Minerals,ECR,Apr,2020,0.5,1,500000,4.4,8.8,7.800000000000001,ECR.L,2.625,2.625,5.25,Gold,7036822,ECR Minerals
7,Kavango Resources,KAV,Apr,2020,0.8,,218000,3.977,4.9712499999999995,3.9712499999999995,KAV.L,3.2,3.2,4.0,Other Industrial Metals & Mining,1743897,Kavango Resources
8,Ironridge Reosurces,IRR,May,2020,7,12,4750000,28,4,3,IRR.L,22.0,22.0,3.142857142857143,Other Industrial Metals & Mining,913577,Ironridge Reosurces
9,MNRG CLN,MNRG,Jul,2020,0.6,,330000,1.4475,2.4125,1.4125,MNRG.L,0.775,0.775,1.2916666666666667,Other Industrial Metals & Mining,36106155,MNRG CLN
10,Katoro Gold,KAT,Jul,2020,1.5,3,1100000,3.39,2.2600000000000002,1.26,KAT.L,1.95,1.95,1.3,Gold,3804505,Katoro Gold
11,Pather Metals,PALM,Jul,2020,6.5,,250000,17.9,2.753846153846154,1.7538461538461536,PALM.L,12.25,12.25,1.8846153846153846,Gold,211883,Pather Metals
12,ECR Minerals,ECR,Jul,2020,1.3,2.1,500000,4.4,3.3846153846153846,2.384615384615385,ECR.L,2.625,2.625,2.019230769230769,Gold,7036822,ECR Minerals
13,Castillo Copper ,CCZ,Aug,2020,1.7,2.8,1300000,4.45,2.6176470588235294,1.6176470588235294,CCZ.L,2.55,2.55,1.5,Other Industrial Metals & Mining,1103809,Castillo Copper 
14,Cobra Resources,COBR,Sep,2020,2.3,3,1500000,3.8475,1.672826086956522,0.6728260869565219,COBR.L,2.7,2.7,1.173913043478261,Other Industrial Metals & Mining,1899228,Cobra Resources
15,Immupharma,IMM,Sep,2020,11,,6500000,14,1.2727272727272727,0.2727272727272727,IMM.L,0.0,0.0,0.0,Biotechnology,1519124,Immupharma
16,Thor Mining,THR,Sep,2020,0.6,1,1100000,1.4,2.3333333333333335,1.3333333333333333,THR.L,0.85,0.85,1.4166666666666667,Other Industrial Metals & Mining,14939699,Thor Mining
17,Advanced Oncotherapy,AVO,Nov,2020,30,,7700000,42.45,1.415,0.4150000000000001,AVO.L,41.0,41.0,1.3666666666666667,Medical Devices,169987,Advanced Oncotherapy
18,Kavango Resources,KAV,Dec ,2020,2.75,4.25,2000000,3.977,1.4461818181818182,0.4461818181818181,KAV.L,3.2,3.2,1.1636363636363638,Other Industrial Metals & Mining,1743897,Kavango Resources
19,Pather Metals,PALM,Dec ,2020,10,,300000,17.9,1.7899999999999998,0.7899999999999998,PALM.L,12.25,12.25,1.225,Gold,211883,Pather Metals
20,Katoro Gold,KAT,Jan,2021,2,3,960000,2.345,1.1725,0.1725000000000001,KAT.L,1.95,1.95,0.975,Gold,3804505,Katoro Gold
21,Advanced Oncotherapy,AVO,Jan ,2021,40,,5900000,42.45,1.06125,0.06125000000000007,AVO.L,41.0,41.0,1.025,Medical Devices,169987,Advanced Oncotherapy
22,Kanabo,KNB,Feb ,2021,0.05,,6000000,0.51,10.2,9.2,KNB.L,22.0,22.0,440.0,Pharmaceutical Retailers,2166674,Kanabo
23,Charat Gold ,CGH,Feb ,2021,26,,2172000,28,1.0769230769230769,0.07692307692307693,CGH.L,25.0,25.0,0.9615384615384616,Gold,87351,Charat Gold 
24,AMTE Power,AMTE,Mar,2021,175,-,3000000,332,1.8971428571428572,0.8971428571428571,AMTE.L,272.5,272.5,1.5571428571428572,Electrical Equipment & Parts,668683,AMTE Power
25,MetalNRG,MNRG,Mar ,2021,0.6,1,1300000,,0,,MNRG.L,0.775,0.775,1.2916666666666667,Other Industrial Metals & Mining,36106155,MetalNRG
