source,title
guardian,Sam Gyimah resigns over Theresa May's Brexit deal
guardian,SNP and Lib Dems back Benn amendment to prevent no-deal Brexit
guardian,The Guardian view on Donald Trump’s credibility: America’s compromised leader | Editorial
guardian,"In this high-stakes game of Brexit, how much of a gambler are you? | Jonathan Freedland"
guardian,Brexit: McDonnell says remain would be on ballot in a second referendum - Politics live
guardian,"Labour should back May's Brexit deal, say MP Ian Austin"
guardian,"No-deal Brexit would 'devastate' UK gaming industry, says report"
guardian,To the Labour MPs who want to reject May’s Brexit deal – are you sure? | Ian Austin
guardian,Fully trousered in the typing pool | Brief letters
guardian,EU dismisses May's claim deal might be renegotiated as PM sells Brexit at G20 - Politics live
guardian,This means war: why cheesy churros will destroy UK-Spain relations
guardian,Julian Smith: can 'the chief' help steer May's Brexit through Commons?
guardian,Owen Jones meets Keir Starmer: 'Brexit fatigue is real – but we can't let this deal pass' – video
guardian,Northern Irish firms face 60-lorry limit in Republic in no-deal Brexit
guardian,Calming cuppa lifts fortunes for Fortnum & Mason
guardian,A tick box for terrorists and May says bullocks to Brexit | John Crace
guardian,Liam Fox hits back at critics of Brexit deal as May rules out plan B - Politics live
guardian,Brexit TV debate: Theresa May says she will only face Corbyn
guardian,Liam Fox backs Theresa May's Brexit deal ahead of key Commons vote
guardian,Witless ministers have hammered councils like austerity punchbags | Richard Vize
guardian,It’s a matter of time before a migrant’s body washes up on British shores | Benny Hunter
guardian,UK house price growth moves off five-year low - business live
guardian,UK 'will remain aligned' with Northern Irish regulations after backstop
guardian,"Brace yourself, Britain. Brexit is about to teach you what a crisis actually is"
guardian,"Brace yourself, Britain. Brexit is about to teach you what a crisis actually is | David Bennun"
guardian,"If a house price crash sounds like good news, you should think again | Gaby Hinsliff"
guardian,Theresa May rules out Norway-style Brexit compromise with Labour
guardian,The Guardian view on loneliness: hard to fix in an age of austerity | Editorial
guardian,May to promote Brexit trade opportunities at fraught G20 summit
guardian,Second referendum campaigners split over parliamentary tactics
guardian,Carlos Ghosn ousted as Mitsubishi chairman; Draghi warns eurozone is slowing - as it happened
guardian,The Guardian view on Theresa May’s Brexit campaign: adapt or lose the vote | Editorial
guardian,Christopher Wylie: 'The fashion industry was crucial to the election of Donald Trump'
guardian,Brexit jitters put paid to £2.9bn takeover bid for Intu shopping centre group
guardian,Nigel Farage and Vince Cable spice things up at the very Brexity British curry awards
guardian,"Brexit: May's deal could lead Tories to 1997-style electoral defeat, says Jo Johnson - Politics live"
guardian,Harry Leslie Smith lived his values | Letters
guardian,Theresa May makes a meal of it at Brexit breakfast meeting | John Crace
guardian,"'Botched Brexit' could spark electoral wipeout for Tories, rebels say"
guardian,Brexit: May suggests she will activate full no deal planning if she loses vote - Politics live
guardian,"Most UK businesses unprepared for no-deal Brexit, says Carney"
guardian,"Gloom about economic prospects deepens, as Carney defends Brexit warning – as it happened"
