YR,MO,total_precip
1973,1,3.69
1973,2,1.94
1973,3,2.45
1973,4,1.33
1973,5,1.43
1973,6,1.45
1973,7,0.06
1973,8,1.41
1973,9,3.29
1973,10,3.14
1973,11,11.55
1973,12,9.93
1974,1,8.51
1974,2,4.61
1974,3,5.65
1974,4,1.76
1974,5,1.74
1974,6,0.8
1974,7,2.01
1974,8,0.07
1974,9,0.21
1974,10,2.14
1974,11,6.73
1974,12,6.05
1975,1,8.43
1975,2,4.75
1975,3,3.45
1975,4,1.88
1975,5,1.35
1975,6,1.13
1975,7,0.43
1975,8,2.1
1975,9,1.75
1975,10,4.76
1975,11,4.1
1975,12,6.68
1976,1,5.14
1976,2,4.92
1976,3,2.93
1976,4,2.34
1976,5,2.29
1976,6,0.78
1976,7,0.66
1976,8,3.29
1976,9,0.73
1976,10,1.48
1976,11,0.77
1976,12,1.38
1977,1,1.07
1977,2,2.49
1977,3,3.5
1977,4,1.04
1977,5,4.3
1977,6,0.83
1977,7,0.39
1977,8,3.26
1977,9,3.33
1977,10,2.28
1977,11,5.56
1977,12,8.98
1978,1,4.85
1978,2,3.28
1978,3,1.49
1978,4,3.96
1978,5,3.17
1978,6,1.69
1978,7,1.36
1978,8,2.05
1978,9,2.07
1978,10,0.36
1978,11,3.83
1978,12,2.51
1979,1,2.55
1979,2,6.53
1979,3,2.51
1979,4,2.47
1979,5,2.41
1979,6,0.64
1979,7,0.25
1979,8,1.18
1979,9,1.75
1979,10,4.85
1979,11,3.38
1979,12,7.23
1980,1,8.51
1980,2,4.01
1980,3,3.11
1980,4,2.58
1980,5,2.19
1980,6,2.5
1980,7,0.19
1980,8,0.39
1980,9,1.56
1980,10,1.18
1980,11,6.47
1980,12,9.72
1981,1,1.47
1981,2,3.86
1981,3,2.33
1981,4,1.79
1981,5,2.25
1981,6,3.23
1981,7,0.24
1981,8,0.15
1981,9,1.86
1981,10,4.12
1981,11,4.62
1981,12,8.37
1982,1,6.31
1982,2,5.98
1982,3,2.38
1982,4,3.56
1982,5,0.46
1982,6,1.66
